sub_category,input,response,rag_label
social_greeting,Dưới đây là 100 cặp (input,response) thuộc nhóm social_greeting:,non-RAG
social_greeting,Cảm ơn bạn nhiều nha,Cảm ơn bạn nhé! Bạn có muốn tôi giúp tra thông tin pháp luật doanh nghiệp không?,non-RAG
social_greeting,Bạn dễ thương ghê,Cảm ơn lời khen! Tôi có thể hỗ trợ bạn về quy định doanh nghiệp không?,non-RAG
social_greeting,Rất vui được nói chuyện,Tôi cũng rất vui được hỗ trợ bạn! Bạn đang muốn tìm hiểu quy định nào?,non-RAG
social_greeting,Tuyệt vời!,Rất cảm ơn bạn! Tôi có thể giúp bạn tìm hiểu về luật đầu tư không?,non-RAG
social_greeting,Bạn thật hữu ích,Cảm ơn sự công nhận của bạn! Bạn có muốn tra cứu thông tin luật lao động không?,non-RAG
social_greeting,Xin chào,Chào bạn! Tôi có thể hỗ trợ bạn về vấn đề pháp lý nào hôm nay?,non-RAG
social_greeting,Hello bot,Chào bạn! Tôi có thể giúp gì cho bạn về pháp luật doanh nghiệp?,non-RAG
social_greeting,Bạn khỏe không?,Tôi vẫn luôn sẵn sàng hỗ trợ! Bạn có cần tìm hiểu về luật thuế không?,non-RAG
social_greeting,Cảm ơn bạn rất nhiều,Tôi rất vui được giúp đỡ! Bạn có câu hỏi nào về các quy định pháp luật không?,non-RAG
social_greeting,Bạn giỏi quá,Cảm ơn lời khen của bạn! Tôi có thể hỗ trợ bạn về thủ tục hành chính doanh nghiệp không?,non-RAG
social_greeting,Tôi thích cách bạn trả lời,Rất cảm ơn bạn! Bạn có cần tôi tư vấn về hợp đồng không?,non-RAG
social_greeting,Thật tốt khi có bạn,Tôi rất vinh dự! Bạn có muốn tìm hiểu về luật đất đai cho doanh nghiệp không?,non-RAG
social_greeting,Chúc một ngày tốt lành,Chúc bạn cũng có một ngày tốt lành! Bạn có cần thông tin pháp luật gì không?,non-RAG
social_greeting,Bạn thật thông minh,Cảm ơn bạn! Tôi có thể làm rõ điều khoản pháp luật nào cho bạn không?,non-RAG
